Timestamp,Ax,Ay,Az,P,Value,Type
0.0,-3.4362394999999997,2.4936376,8.75425,1003.422,0,0
0.04,5.9890003,5.3776517,6.4524055,1003.4552,0,0
0.08,5.8742514,5.120259,6.1872754,1003.5154,0,0
0.12,5.6925864,5.1107264,6.599166,1003.5076,0,0
0.16,5.7307906,4.958197,6.594428,1003.5029,0,0
0.2,5.5108875999999976,4.743703,6.4097839999999975,1003.4752,0,0
0.24,5.6638074000000005,4.8724008,5.9647464999999995,1003.4653300000001,0,0
0.28,5.8023868,5.3299913,5.841648999999999,1003.4780000000001,0,0
0.32,5.1188426,4.5625763,7.072591,1003.49786,0,0
0.36,5.0949078000000005,4.962968,6.7033043,1003.47784,0,0
0.4,4.310988,5.139331299999999,5.3161206,1003.4706,0,0
0.44,3.756498600000002,4.0573239999999995,5.5149627,1003.4680000000001,0,0
0.48,3.6321894999999995,4.200321,5.1220040000000004,1003.4783,0,0
0.52,3.0585766,2.9324182999999997,3.9573370999999997,1003.466,0,0
0.56,3.7946362000000002,2.5653942,4.1561794,1003.48096,0,0
0.6,4.0001335,1.8885439999999998,5.8794994,1003.48315,0,0
0.64,4.674052,1.4404886000000001,3.7442799,1003.45074,0,0
0.68,5.792493299999999,0.8971017,2.6269577,1003.4813,0,0
0.72,8.359212,0.30604953,3.2660987,1003.4461699999999,0,0
0.76,10.930716,0.6540089,1.6374605,1003.48865,0,0
0.8,9.72617,-1.5862718,3.9147062000000004,1003.47614,0,0
0.84,10.232796,-2.2917216000000002,0.6905734,1003.4966,0,0
0.88,12.885553999999999,-2.058159,2.6884892000000002,1003.48193,0,0
0.92,12.173328999999999,-3.1973658,2.5511885,1003.49194,0,0
0.96,11.504835,-4.0029306,0.01834402,1003.5019,0,0
1.0,10.75918,-5.8285217000000005,-0.043203827,1003.5296599999999,0,0
1.04,11.619539,-6.276578400000001,0.36868888,1003.5045,0,0
1.08,12.5324745,-6.0716157,0.6480182,1003.5272,0,0
1.12,12.374735000000001,-5.6521587,0.72376806,1003.55225,0,0
1.16,12.040142,-5.0420394,0.37815592,1003.54724,0,0
1.2,11.562156,-4.398554,0.07041903,1003.52484,0,0
1.24,10.735244,-4.331821400000001,-0.28466183,1003.5352,0,0
1.28,9.315636,-5.13737,-0.16630234,1003.55475,0,0
1.32,8.297531,-6.062082,0.25979352,1003.53546,0,0
1.36,7.757406,-6.3576083,0.49651316,1003.5377,0,0
1.4,7.709602999999999,-6.5911694,0.5012471,1003.5381,0,0
1.44,7.848210000000001,-6.6436020000000005,0.21718217,1003.5126,0,0
1.48,7.666572,-6.986793,-0.12369551,1003.5155599999999,0,0
1.52,7.2029243,-7.287086,-0.3840884,1003.5456,0,0
1.56,6.7201576,-7.506348,-0.32254168,1003.5334,0,0
1.6,6.084438,-7.692242999999999,-0.96168685,1003.5152,0,0
1.64,5.539534,-7.468215,-1.3451742,1003.5160000000001,0,0
1.68,5.5586457000000005,-7.129789,-1.3262374,1003.5205699999999,0,0
1.72,5.711593,-7.2394195,-1.1368618000000001,1003.5361300000001,0,0
1.76,6.180009,-7.2394195,-0.7155001,1003.4934,0,0
1.8,6.9256509999999984,-6.9534254,-0.31781083,1003.5238,0,0
1.84,7.3223696,-6.7865963,-0.081091,1003.5038,0,0
1.88,8.015433,-6.271808,-0.18524866,1003.51636,0,0
1.92,7.695432,-6.638839,-0.11894448,1003.5238,0,0
1.96,7.6619773,-6.567341000000001,0.22666737,1003.52185,0,0
2.0,7.9917874000000015,-6.1955495,0.32135582,1003.5392,0,0
2.04,8.063489,-6.0620856,0.037291907,1003.4967,0,0
2.08,8.096950999999999,-6.1717167,0.13671473,1003.51416,0,0
2.12,8.058717,-5.933389,0.023089357,1003.5242,0,0
2.16,8.383747,-5.8094586999999995,0.24560674,1003.51404,0,0
2.2,8.508025,-5.8714237,-0.17575495,1003.5369,0,0
