Timestamp,Ax,Ay,Az,P,Value,Type
0.0,0.87041396,4.0780096,9.888246,991.54175,0,0
0.04,0.8751988000000002,4.411668,9.500025,991.55444,0,0
0.08,0.8130664000000001,4.378302,9.021851,991.5897,0,0
0.12,0.813074,4.4974656,8.695178,991.582,0,0
0.16,0.62188447,4.2114725,8.865617,991.58215,0,0
0.2,0.44981652,4.0637093,9.002913000000003,991.5897,0,0
0.24,0.62667435,4.4498,8.832477,991.5847,0,0
0.28,0.38768923,4.1542735,9.192291,991.5695,0,0
0.32,0.29209822,4.092308,9.291715,991.5845,0,0
0.36,0.5645521,4.3306355000000005,8.628898,991.577,0,0
0.4,0.6075754,4.2019386,9.2680435,991.55927,0,0
0.44,0.68883973,4.4259663,8.524742,991.5719,0,0
0.48,0.54335654,4.373585,8.434598,991.5795,0,0
0.52,0.6579932,4.583316,9.149485,991.5695,0,0
0.56,0.5241194,4.521351999999999,9.073731,991.5719,0,0
0.6,0.2850505,4.5928515999999995,8.619222,991.5643,0,0
0.64,0.5621613,5.3126050000000005,8.278334,991.5871,0,0
0.68,0.5143239000000001,5.388871,8.496112,991.592,0,0
0.72,-0.16930598,5.0027833,8.074739,991.5994,0,0
0.76,-0.22670293,4.8693194,8.08894,991.5843,0,0
0.8,-0.50879,4.4498644,8.401402000000001,991.5969,0,0
0.84,-0.4801898,4.378369,8.391927,991.59955,0,0
0.88,0.04073018,4.807361,8.70439,991.5667,0,0
0.92,0.61422807,5.5414124000000005,7.975285,991.5844,0,0
0.96,0.77666277,5.760676,8.737516000000001,991.5666,0,0
1.0,0.27948449999999997,5.427018599999999,8.126771000000002,991.5843,0,0
1.04,0.0021379888000000002,5.012331,8.860594,991.5893,0,0
1.08,0.20285045,5.069531,9.09731,991.5717,0,0
1.12,0.21707194,5.0171019999999995,8.145684,991.5616,0,0
1.16,0.45598352,5.141033599999999,8.401335000000001,991.5969,0,0
1.2,0.42722607,4.921774,8.9126425,991.60693,0,0
1.24,0.31247145,4.907475499999999,8.424995,991.57916,0,0
1.28,0.40798897,5.1362724,8.193003,991.5715,0,0
1.32,0.47008705,5.107673999999999,8.486532,991.5891,0,0
1.36,0.33613459999999995,4.907481,8.865274000000003,991.6069,0,0
1.4,0.36951464,5.0314136,8.917345,991.5989400000001,0,0
1.44,0.73748094,5.3412422999999984,9.1493225,991.5666,0,0
1.48,0.6657446,5.322177,8.884192,991.5690300000001,0,0
1.52,0.44714808,5.13625,8.24043,991.5713,0,0
1.56,0.5283793000000001,5.6272054,7.468721,991.5815,0,0
1.6,0.2893638,5.612907,7.582344,991.5716,0,0
1.64,-0.16952276,5.417478599999999,8.155205,991.5939,0,0
1.68,0.0120844245,5.4651445999999995,8.586033,991.5864,0,0
1.72,-0.20304483,5.093354,8.467669500000001,991.5737,0,0
1.76,-0.18393829999999997,4.9312916,8.4629345,991.5813,0,0
