Timestamp,Ax,Ay,Az,P,Value,Type
0.0,3.179809,7.1831894,7.3800993,1004.49225,0,0
0.04,2.6587248,6.930564,7.678358999999999,1004.5275,0,0
0.08,2.448322,6.9448657,7.825117,1004.5302,0,0
0.12,2.8688536,7.4644227,7.3564034,1004.53107,0,0
0.16,2.5437357000000005,7.616955,7.7777557,1004.48346,0,0
0.2,3.4470332000000004,8.637,9.013429,1004.54926,0,0
0.24,4.981259,9.523582,9.510532,1004.5092,0,0
0.28,5.717257,9.69518,10.490545,1004.5019,0,0
0.32,5.3969307,9.542652,9.988691,1004.4694,0,0
0.36,3.895975,8.3557825,8.615705499999999,1004.49286,0,0
0.4,3.852871,8.160355000000001,6.3668556,1004.4384,0,0
0.44,1.8500421,6.635059,3.663502,1004.43115,0,0
0.48,-0.21967284,4.961999,2.6834748,1004.41113,0,0
0.52,-3.1880212,3.1983755,1.4856621,1004.42163,0,0
0.56,-5.01877,2.3689968999999995,-0.5406709,1004.4272,0,0
0.6,-8.18309,1.925709,-2.1030328,1004.4377,0,0
0.64,-9.832218,2.7884586,-4.0346785,1004.4527,0,0
0.68,-10.090412,2.178341,-0.91944796,1004.45526,0,0
0.72,-7.858333999999997,3.7560732,-3.2109082000000004,1004.45807,0,0
0.76,-8.255142,3.9229052,-0.25664726,1004.4664,0,0
0.8,-8.465538,4.676023000000002,-2.2498395,1004.502,0,0
0.84,-8.145381,4.471063,-0.73010373,1004.4619,0,0
0.88,-8.456158,5.6293387,-0.029420024,1004.4976,0,0
0.92,-9.292708,3.7894502,-0.11938146,1004.5056,0,0
0.96,-9.288018,3.6750548,-1.9184635,1004.4884,0,0
1.0,-8.485101,4.094514,-2.4771314,1004.4809,0,0
1.04,-8.54255,4.1850809999999985,-1.9942305,1004.4759,0,0
1.08,-8.217607000000001,4.661738400000001,-1.8380029,1004.4888,0,0
1.12,-8.088649,5.004933,-2.5765789,1004.4814,0,0
1.16,-8.901305,4.714175,-0.90060765,1004.47174,0,0
1.2,-8.475986500000001,4.7952085,-1.9800597,1004.48694,0,0
1.24,-8.748526,4.733246,-0.37983915,1004.4901,0,0
1.28,-8.437928,4.404355000000002,-0.45559788,1004.498,0,0
