Timestamp,Ax,Ay,Az,P,Value,Type
0.0,-2.5770493,2.3171318,6.0459027,1002.31464,0,0
0.04,-1.7884518,2.0168407,6.917027,1002.35004,0,0
0.08,-0.6891816999999999,1.5258874,9.6913805,1002.3478,0,0
0.12,-0.2303954,1.6212202,6.4909163,1002.3652,0,0
0.16,0.7828381,-0.9527184,7.433055,1002.35284,0,0
0.2,4.0473690000000015,-0.27109885,9.312607,1002.3402,0,0
0.24,4.5204897000000015,0.32948914,9.123223,1002.3629,0,0
0.28,5.701027,0.32949102,6.6944666,1002.3652,0,0
0.32,6.4274716,-2.6353054,9.123209,1002.41315,0,0
0.36,6.1692924000000025,-1.9965848,9.307843,1002.4031,0,0
0.4,7.1920853000000005,-0.3568873,7.750217399999999,1002.4111,0,0
0.44,7.430996,-1.2053324,5.7854314,1002.40356,0,0
0.48,6.9338217,-2.1538754,7.4329977,1002.4158,0,0
0.52,7.923166,-2.816425,6.424563,1002.4211,0,0
0.56,7.7127743,-2.0728402,5.7285980000000025,1002.39575,0,0
0.6,7.368549000000002,-2.9832504,6.2919846,1002.39343,0,0
0.64,8.028077,-3.116712,5.098907,1002.36816,0,0
0.68,7.368389599999999,-4.389381,4.7627573,1002.3632,0,0
0.72,9.700849,-3.526632,5.534457700000001,1002.3558,0,0
0.76,9.041165,-4.0461845,5.6812177,1002.34296,0,0
0.8,8.400932000000001,-4.0509577000000005,5.411381,1002.353,0,0
0.84,7.927666,-5.032867,4.0762725,1002.3558,0,0
0.88,9.361542,-3.7601948,3.8016708,1002.38104,0,0
0.92,9.715184,-6.1768374,6.5002755999999975,1002.4088,0,0
0.96,10.379512,-6.0910378,5.880063,1002.4011,0,0
1.0,12.922309,-3.5695279,2.0025802,1002.37354,0,0
1.04,9.829707,-7.630633,1.2308656999999998,1002.3559,0,0
1.08,10.541831,-6.438992,0.37866682,1002.41144,0,0
1.12,11.005405,-6.01,2.1303906,1002.4619,0,0
1.16,9.891646,-5.142485,2.3860424,1002.4315,0,0
1.2,7.8123693,-4.684894,2.8168674,1002.42676,0,0
1.24,9.442216,-2.5733078,8.47921,1002.40137,0,0
1.28,4.772287,-2.4398427000000003,-5.7618856,1002.4368,0,0
1.32,8.772913,-4.289265,5.4728502999999975,1002.42145,0,0
1.36,4.203362,-2.4922717,-1.4677922,1002.4142,0,0
1.4,5.7901907,-1.8106525,-0.10902403,1002.4139,0,0
1.44,5.9621983,-1.4054935,6.874217,1002.389,0,0
1.48,6.9419875,-0.58564407,0.738422,1002.3763,0,0
1.52,10.660613,-1.5055879,3.3991516,1002.3713,0,0
1.56,9.456036,-0.65713924,4.8904830000000015,1002.39905,0,0
1.6,8.624289,-0.9002321,3.9814718,1002.41644,0,0
1.64,7.5487633,-4.1986876,2.9398963,1002.3961,0,0
1.68,8.920506,-4.3750486,1.1786922,1002.38385,0,0
1.72,9.761689,-5.6715508,0.7573245,1002.34607,0,0
1.76,8.805662,-4.2177496,3.6216333,1002.34863,0,0
1.8,6.0633683,-5.914675,2.1256816,1002.3865,0,0
1.84,6.961961,-4.8612660000000005,1.6190993,1002.38916,0,0
1.88,11.435847,-2.968943,2.9731383,1002.37103,0,0
1.92,11.268544,-4.6372375,1.5906912,1002.40424,0,0
1.96,9.810695,-3.8126235,2.1682878,1002.38916,0,0
2.0,14.270242,-4.8993980000000015,3.4229038,1002.38904,0,0
2.04,3.1380682,-4.575272,-1.515081,1002.40424,0,0
