Timestamp,Ax,Ay,Az,P,LPFRMSAcc,LPFPValue,Value,Detection,Type
100.6,-0.456430674,5.484838963,6.767273426,990.7217407,9.856251263,3.566598107,0,0,
0.04,2.377192259,3.931761026,8.581648827,990.7545166,0.035043088,10.27192052,0,0,
0.08,2.592151165,3.965130329,9.613737106,990.7518921,0.104464111,19.72647112,0,0,
0.12,1.965732336,3.700593233,8.378032684,990.7468262,0.318654589,31.57618509,0,0,
0.12,1.965732336,3.700593233,8.378032684,990.7741699,0.318654589,45.49970489,0,0,
0.2,1.700320959,3.702979803,8.605273247,990.7821655,0.456046095,61.2055436,0,0,
0.24,1.747986794,3.919861078,9.031355858,990.7640991,0.61180097,78.42963324,0,0,
0.28,1.967725277,4.251140118,8.81119442,990.7518311,0.783148043,96.93319849,0,0,
0.32,1.924574852,4.29404211,9.384045601,990.7288818,0.969522939,116.5006129,0,0,
0.36,1.582686782,3.853139162,9.767519951,990.774292,1.168940703,136.9377653,0,0,
0.4,1.568215132,3.912724257,9.452670097,990.7515259,1.378197908,158.0697624,0,0,
0.44,1.673238516,3.941326857,9.459759712,990.7490234,1.595517311,179.7396401,0,0,
0.48,1.556001186,3.660103083,9.241965294,990.7563477,1.818017847,201.8068038,0,0,
0.52,1.402915239,3.631507158,9.038372993,990.7637939,2.043502587,224.1455945,0,0,
0.56,1.297627211,3.560012102,9.211167336,990.7311401,2.271240567,246.6438577,0,0,
0.6,1.59862268,3.865074873,9.391062737,990.7613525,2.501302788,269.2021456,0,0,
0.64,1.225665808,3.524269342,9.147229195,990.7512817,2.731145453,291.7322254,0,0,
0.68,1.500372171,3.705401659,9.438382149,990.7160034,2.961302599,314.1561452,0,0,
0.72,1.638854265,3.755453825,8.664295197,990.7559814,3.188512331,336.4056797,0,0,
0.76,1.700859308,3.612460852,8.908104897,990.7436523,3.412939492,358.4209848,0,0,
0.8,1.647944808,3.509987593,8.358883858,990.7434082,3.632128879,380.1500687,0,0,
0.84,1.709941626,3.826967239,8.242877007,990.7158203,3.846019633,401.5479237,0,0,
0.88,1.5042696,4.360825062,8.242864609,990.7283936,4.055172956,422.5761176,0,0,
0.92,0.995079994,5.023379803,8.489041328,990.7484131,4.26107278,443.2020496,0,0,
0.96,0.548027754,5.571537495,8.754153252,990.7307739,4.465074409,463.3982262,0,0,
1,1.044986844,5.507192135,9.071347237,990.7509766,4.667644623,483.1420373,0,0,
1.04,1.331634521,4.97572422,9.738884926,990.74823,4.869493776,502.4150507,0,0,
1.08,1.016026974,4.17732954,9.289103508,990.7255249,5.067166075,521.2026027,0,0,
1.12,0.650231481,3.571980476,8.188341141,990.725647,5.255833306,539.4935662,0,0,
1.16,1.261905909,4.024806499,7.582325459,990.7508545,5.434854375,557.2799874,0,0,
1.2,1.393209934,3.991444588,7.856907845,990.7406006,5.60559143,574.556527,0,0,
1.24,1.307032943,4.093928814,7.91607523,990.7355347,5.768701115,591.3203214,0,0,
1.28,1.502864361,4.55390501,8.285346031,990.7380371,5.926520547,607.5707135,0,0,
1.32,1.24700439,4.620639801,8.093588829,990.7404175,6.078484181,623.3089705,0,0,
1.36,0.890768409,4.551528454,8.448657036,990.7454224,6.225573247,638.5380652,0,0,
1.4,0.560821474,4.391851902,8.581207275,990.7328491,6.367890989,653.262394,0,0,
1.44,0.548731387,4.182126999,9.137486458,990.7302246,6.506949087,667.4876948,0,0,
1.48,0.739783049,4.143998146,9.625117302,990.7453003,6.644215148,681.2208975,0,0,
1.52,0.835238695,4.005771637,9.317368507,990.732605,6.778218959,694.4697972,0,0,
1.56,0.696483731,3.834179163,9.738717079,990.7301025,6.909985166,707.2430616,0,0,
1.6,0.839737415,3.815116167,9.750540733,990.7653809,7.039352115,719.550198,0,0,
1.64,1.348645926,4.329907417,9.423853874,990.7553101,7.165968947,731.4011217,0,0,
1.68,1.326996326,4.163081646,9.097167015,990.7373657,7.288381671,742.8062079,0,0,
1.72,1.276667833,4.060604095,8.680526733,990.699646,7.405112122,753.7761581,0,0,
1.76,1.520297289,4.313234806,8.493504524,990.7576904,7.516324131,764.3223391,0,0,
1.8,1.534561872,4.198839664,8.966938019,990.7224121,7.623602623,774.4559845,0,0,
1.84,1.376690388,3.981964588,9.08528614,990.722229,7.72700176,784.1886316,0,0,
1.88,1.467368722,4.122581482,9.35750103,990.7322998,7.82773651,793.5319554,0,0,
1.92,1.491129875,4.13450098,9.158644676,990.7472534,7.925137049,802.497691,0,0,
1.96,1.572248578,4.637376308,8.218852043,990.7272339,8.01711073,811.0974408,0,0,
2,1.359409571,4.770843029,8.173862457,990.7473755,8.103938223,819.3429191,0,1,
